hh_id,weight,survey_mode,survey_language,survey_complete_date,is_complete,num_days_complete,reported_home_cms_zone,missing_home_location,first_travel_date,last_travel_date,num_bicycles,bicycle_type_standard,bicycle_type_electric,bicycle_type_other,bicycle_store_house,bicycle_store_rack,bicycle_store_locker,bicycle_store_secured_bike_room,bicycle_store_object,bicycle_store_docking_station,bicycle_store_street,bicycle_store_garage,bicycle_store_other,num_vehicles,vehicle_change,reduced_vehicle_cost,reduced_vehicle_parking,reduced_vehicle_no_need,reduced_vehicle_ridehailing,reduced_vehicle_carshare,reduced_vehicle_transit,reduced_vehicle_nyc_driving,reduced_vehicle_other,increased_vehicle_new_driver,increased_vehicle_transport_hh_member,increased_vehicle_moved,increased_vehicle_job,increased_vehicle_unreliable,increased_vehicle_flexibility,increased_vehicle_other,res_type,rent_own,income_detailed,income_aggregate,num_participants,num_people,num_adults,num_kids,num_workers,num_students,num_trips
191547753,211.12838,1,English,06/28/2019,1,6,Inner Brooklyn,0,06/21/2019,06/27/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,1,5,3,1,3,3,0,1,0,58
19959674,3895.83629,1,English,06/14/2019,1,7,Inner Brooklyn,0,06/07/2019,06/13/2019,4,1,1,0,1,0,0,0,0,0,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,3,1,10,6,1,8,6,2,4,3,54
199459719,258.64659,1,English,07/01/2019,1,7,Inner Brooklyn,0,06/24/2019,06/30/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,1,0,1,1,0,0,0,0,1,995,995,995,995,995,995,995,3,2,3,2,1,2,1,1,0,1,13
197439069,223.38256,1,English,06/28/2019,1,7,Inner Brooklyn,0,06/21/2019,06/27/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,2,4,2,1,1,1,0,1,1,29
199703066,709.00528,1,English,06/28/2019,1,6,Manhattan Core,0,06/21/2019,06/27/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,1,8,5,1,1,1,0,1,0,53
193772755,242.25892,1,English,06/29/2019,1,5,Manhattan Core,0,06/22/2019,06/28/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,1,7,5,1,2,2,0,2,0,18
193259639,2019.65496,1,Spanish,06/28/2019,1,7,Manhattan Core,0,06/21/2019,06/27/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,2,1,1,1,1,0,1,0,1
193832803,12710.3638,1,English,07/03/2019,1,6,Manhattan Core,0,06/22/2019,06/28/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,1,7,5,1,3,3,0,0,0,90
193851390,9964.56739,1,English,06/30/2019,1,6,Manhattan Core,0,06/23/2019,06/29/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,1,1,1,0,1,1,0,0,995,995,995,995,995,995,995,5,1,10,6,1,2,2,0,0,0,50
190822124,673.01581,1,English,07/05/2019,1,7,Manhattan Core,0,06/24/2019,06/30/2019,2,1,0,0,0,0,0,1,0,0,0,0,0,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,8,5,1,1,1,0,1,0,43
199466041,625.91045,1,English,06/29/2019,1,7,Manhattan Core,0,06/22/2019,06/28/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,2,9,6,1,2,2,0,2,0,29
192343046,571.26586,1,English,06/26/2019,1,3,Manhattan Core,0,06/22/2019,06/28/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,0,0,1,0,0,0,0,0,995,995,995,995,995,995,995,-9998,-9998,10,6,1,2,2,0,1,0,17
190629161,730.47005,1,English,07/01/2019,1,7,Manhattan Core,0,06/22/2019,06/28/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,8,5,1,2,2,0,1,1,29
196812926,277.62975,1,English,07/01/2019,1,7,Manhattan Core,0,06/24/2019,06/30/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,2,5,3,1,1,1,0,1,0,35
196358303,348.45078,1,English,06/26/2019,1,4,Upper Manhattan,0,06/21/2019,06/27/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,-9998,-9998,8,5,1,2,2,0,1,0,24
191274941,385.98812,1,English,06/29/2019,1,6,Upper Manhattan,0,06/21/2019,06/27/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,7,5,1,2,2,0,2,0,31
190539958,106.22572,1,English,06/30/2019,1,4,Upper Manhattan,0,06/23/2019,06/29/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,5,3,1,1,1,0,1,0,33
192981517,368.12683,1,English,06/30/2019,1,7,Upper Manhattan,0,06/23/2019,06/29/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,1,1,1,1,0,1,1,0,995,995,995,995,995,995,995,5,2,6,4,1,1,1,0,1,0,34
19619289,214.07322,1,English,06/08/2019,1,7,Inner Brooklyn,0,06/01/2019,06/07/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,1,2,2,1,1,4,2,2,1,2,31
19497043,2953.56264,1,English,06/15/2019,1,5,Inner Brooklyn,1,06/08/2019,06/14/2019,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,2,1,1,1,1,1,0,0,0,4
19891262,209.42453,1,English,06/21/2019,1,7,Inner Brooklyn,0,06/13/2019,06/19/2019,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,4,2,4,2,1,3,2,1,2,1,21
19934034,3289.70404,1,English,05/31/2019,1,1,Inner Brooklyn,0,05/29/2019,06/04/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,-9998,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,-9998,-9998,1,1,1,2,1,1,1,1,27
19176842,1201.21516,1,English,06/20/2019,1,5,Inner Brooklyn,0,06/12/2019,06/18/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,997,2,2,1,1,2,2,0,0,0,28
19844301,222.9583,1,English,05/31/2019,1,3,Inner Brooklyn,0,05/24/2019,05/30/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,0,1,0,0,0,0,0,0,0,1,995,995,995,995,995,995,995,4,2,2,1,1,2,1,1,1,1,33
19891275,210.77351,1,English,06/11/2019,1,3,Inner Brooklyn,0,06/04/2019,06/10/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,2,2,995,995,995,995,995,995,995,995,0,0,0,0,0,0,1,6,2,6,4,1,2,2,0,2,0,48
19457250,221.8383,1,English,06/08/2019,1,7,Inner Brooklyn,0,06/01/2019,06/07/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,6,2,7,5,1,3,2,1,2,1,38
19612104,42108.17148,1,English,06/14/2019,1,5,Inner Brooklyn,0,06/07/2019,06/13/2019,2,1,0,0,1,0,0,0,0,0,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,2,1,1,1,3,3,0,1,0,15
19375127,3937.24354,1,English,06/25/2019,1,3,Inner Brooklyn,0,06/19/2019,06/25/2019,0,995,995,995,995,995,995,995,995,995,995,995,995,2,2,995,995,995,995,995,995,995,995,0,0,0,0,1,0,0,-9998,-9998,6,4,1,5,5,0,3,0,51
19378819,243.6022,1,English,06/23/2019,1,6,Inner Brooklyn,0,06/16/2019,06/22/2019,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,995,995,995,995,995,995,995,995,0,1,0,0,0,0,0,3,999,4,2,1,1,1,0,0,0,70
19472712,223.06915,1,English,06/24/2019,1,6,Inner Brooklyn,0,06/17/2019,06/23/2019,3,1,0,0,0,0,0,1,0,0,0,0,0,1,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,5,1,10,6,1,4,2,2,2,2,33
19191879,789.24619,1,English,06/10/2019,1,4,Inner Brooklyn,0,06/03/2019,06/09/2019,2,1,0,0,1,0,0,0,0,1,0,0,0,0,3,995,995,995,995,995,995,995,995,995,995,995,995,995,995,995,4,2,8,5,1,3,3,0,3,0,23
